teacher_rank,student_dim,gnc_gen_seed=0
1,5,0.4693078186765766
1,6,1.3958270970213154
1,7,1.4716727378534578
1,8,1.566690261022114
1,9,1.6093257076463552
1,10,1.6545840710242758
1,11,1.7716678687349388
1,12,1.8008356337949458
1,13,1.8725527927789605
1,14,1.9518427935564113
1,15,2.0120791988243347
1,16,2.0748822254537105
1,17,2.0897494560498644
1,18,2.1505543647481717
1,19,2.2280422098207713
1,20,2.269347409851385
1,21,2.311780337653595
1,22,2.3892953797545773
1,23,2.465185149727894
1,24,2.4843226352005203
