teacher_rank,student_dim,gnc_gen_seed=0
1,10,0.6616324620735314
1,11,0.6214591831263929
1,12,0.6143216363667885
1,13,0.6074046976864338
1,14,0.6350874971461336
1,15,0.6495744717893777
1,16,0.6371733046909596
1,17,0.6885496870971021
1,18,0.6910130651491992
1,19,0.7155141575332684
1,20,0.7235882125190787
1,21,0.6529114619201544
1,22,0.7686040153411718
1,23,0.7394618185816308
1,24,0.7228295374437269
1,25,0.7717366115317006
1,26,0.7974380795632937
1,27,0.7665582843895616
1,28,0.7904424934160141
1,29,0.8123525908510936
1,30,0.8113125730099713
1,31,0.8181369787374676
1,32,0.8721001611918396
1,33,0.8388729283905992
1,34,0.8695918942143867
