teacher_rank,student_dim,gnc_gen_seed=0
1,5,0.6160746026837681
1,6,1.408801573199455
1,7,1.497681955098296
1,8,1.5853958240903099
1,9,1.5750508461239643
1,10,1.6649434241055978
1,11,1.7374056456820004
1,12,1.808547778983771
1,13,1.8747738303858592
1,14,1.9795550752563835
1,15,2.0285936224511025
1,16,2.1036321755066894
1,17,2.106042113383961
1,18,2.1372342083902973
1,19,2.247956973772136
1,20,2.2844978602036417
1,21,2.360261481367804
1,22,2.404281688653916
1,23,2.472462891906102
1,24,2.5094823311686887
