teacher_rank,student_dim,gnc_gen_seed=0
1,15,0.6028558465838433
1,16,0.5385183586793787
1,17,0.7509583491418097
1,18,0.8546817573634061
1,19,0.7669016998715517
1,20,0.7067649251884884
1,21,0.6918496986230215
1,22,0.6405785771256144
1,23,0.855868881711593
1,24,0.7380336705181334
1,25,0.63513285229946
1,26,0.903718673520618
1,27,0.8475167208643102
1,28,0.7163388287198955
1,29,0.7111164884907859
1,30,0.8472022165854772
1,31,0.7372454435660921
1,32,0.882029981485435
1,33,0.8274947752555212
1,34,0.9278473166688797
1,35,0.8000038464864095
1,36,0.9216571819614356
1,37,0.8535072356462479
1,38,0.8365271126940137
1,39,0.8862756499472786
