teacher_rank,student_dim,gnc_gen_seed=0
1,5,0.4758269331352329
1,6,1.6666798733476877
1,7,1.675932931215265
1,8,1.8898150708170642
1,9,1.924446360089817
1,10,2.012580508385376
1,11,2.1670351569319135
1,12,2.318581941225956
1,13,2.3535070498139126
1,14,2.4762298263366684
1,15,2.592554221666721
1,16,2.5477156608914115
1,17,2.6594521334663863
1,18,2.7094923301893115
1,19,2.8073492812797367
1,20,2.7126667706098138
1,21,2.90075434987545
1,22,2.9678364424503036
1,23,3.1006431328338517
1,24,2.944874418200925
