teacher_rank,student_dim,gnc_gen_seed=0
1,10,1.9897062686010658
1,11,1.7904341280844054
1,12,1.8022125629330827
1,13,1.8718568767839665
1,14,1.9376745947963414
1,15,2.05720014220143
1,16,2.0889461100186293
1,17,2.0546530260521045
1,18,2.207353393723582
1,19,2.273520363422922
1,20,2.353508531005823
1,21,2.3225835911890536
1,22,2.390715219763821
1,23,2.5010003944259998
1,24,2.43711435138714
1,25,2.4980842072437417
1,26,2.6598274334665515
1,27,2.518160766808705
1,28,2.6915987272374333
1,29,2.776171760908322
1,30,2.6980699909239236
1,31,2.764675584670127
1,32,2.797106693948182
1,33,2.9051691857251254
1,34,2.8537734861691053
