teacher_rank,student_dim,gnc_gen_seed=0
1,10,0.8129542688657712
1,11,1.6983450717175868
1,12,1.7104506871048009
1,13,1.9885600934020515
1,14,2.1586171630281634
1,15,1.8746399408653645
1,16,1.9990583028669324
1,17,2.0491544030291933
1,18,2.1443064655790955
1,19,1.9151520947766394
1,20,2.209404930189082
1,21,2.3456855958821823
1,22,2.4441011153599796
1,23,2.581119852900505
1,24,2.3490832771195307
1,25,2.4736078353347004
1,26,2.8887265307694365
1,27,2.180001385995875
1,28,2.3896783046334624
1,29,2.802104656932918
1,30,2.3681206722108143
1,31,2.6574383788383926
1,32,2.9021106522107862
1,33,2.6538906100549196
1,34,2.989102943435959
