teacher_rank,student_dim,gnc_gen_seed=0
1,10,0.9467530658382876
1,11,1.1851691302921001
1,12,1.1963463303902762
1,13,1.4252701560985677
1,14,1.4803286014778139
1,15,1.5191863755017152
1,16,1.4638795596457297
1,17,1.764538326671907
1,18,1.924211543181847
1,19,1.8181505744338882
1,20,1.8148327936919837
1,21,1.7934508298834164
1,22,1.9934485973131777
1,23,1.8366748501147543
1,24,1.8798283886383562
1,25,2.1999940815426053
1,26,1.707064759518419
1,27,2.547181109829647
1,28,2.017050246859706
1,29,1.9595071714785364
1,30,2.1304998210498263
1,31,2.8350786431269213
1,32,2.0421109528377137
1,33,2.1832081363959746
1,34,2.1570173551638923
