teacher_rank,student_dim,gnc_gen_seed=0
1,15,2.0532780403208815
1,16,2.3918986081326796
1,17,2.8172389440420833
1,18,2.732109441418588
1,19,2.818037130793587
1,20,2.681206514494955
1,21,2.889644385329107
1,22,2.908644707392955
1,23,3.167041741542935
1,24,2.953136677960403
1,25,3.0117202630409827
1,26,3.3613868403725506
1,27,3.129412209922141
1,28,2.795905089930983
1,29,2.978297116579833
1,30,3.14919754631311
1,31,2.9499900058696142
1,32,3.2972810835014155
1,33,3.18500630190407
1,34,3.4050781217488377
