teacher_rank,student_dim,gnc_gen_seed=0
1,10,0.7591599013226537
1,11,1.8619553305026961
1,12,1.839364429456847
1,13,1.6116735696792603
1,14,2.4342513942357265
1,15,2.44789967086257
1,16,2.3226568192243575
1,17,2.931794157340413
1,18,2.830939973776157
1,19,2.14779975503049
1,20,2.3275836432466703
1,21,2.09588234352343
1,22,1.6735597550868988
1,23,2.185263986388842
1,24,2.4125226241476994
1,25,2.304122242235368
1,26,2.765429144104322
1,27,2.29756012947663
1,28,2.752562641269631
1,29,2.359828687849499
