teacher_rank,student_dim,gnc_gen_seed=0
1,15,1.8494323816240121
1,16,2.8289142218861394
1,17,2.77610396453096
1,18,2.917991732988946
1,19,2.947201153147203
1,20,2.9682454336583137
1,21,2.8514723626591945
1,22,2.8049558934031262
1,23,3.021506234508036
1,24,3.069272328017285
1,25,2.9659199314805034
1,26,3.0630169427701843
1,27,3.0011333551395825
1,28,3.003852699873268
1,29,3.4055274081758307
1,30,3.179486357199494
1,31,3.598946215687217
1,32,3.1892436170578002
1,33,3.182608735176825
1,34,3.406256643069141
