teacher_rank,student_dim,gnc_gen_seed=0
1,5,0.5615681256324905
1,6,0.8412298478684709
1,7,0.8681815881431072
1,8,0.8629985355693464
1,9,0.8580940992772138
1,10,0.8557725955186916
1,11,0.8694323299772994
1,12,0.8527723863205158
1,13,0.872940689848101
1,14,0.8523003046171453
1,15,0.8780498690412386
1,16,0.8552503141295721
1,17,0.8508287577138856
1,18,0.8735000857533558
1,19,0.8306817182000737
1,20,0.8829854011417241
1,21,0.817376645861499
1,22,0.8793751121263498
1,23,0.7829659681656658
1,24,0.8765006025840941
