student_dim,gnc_gen_seed=0,gd_gen_seed=0,gnc_gen_seed=1,gd_gen_seed=1,gnc_gen_seed=2,gd_gen_seed=2,gnc_gen_seed=3,gd_gen_seed=3,gnc_gen_seed=4,gd_gen_seed=4,gnc_gen_seed=5,gd_gen_seed=5,gnc_gen_seed=6,gd_gen_seed=6,gnc_gen_seed=7,gd_gen_seed=7
3.0,0.0022206467198734735,0.00034466784563846886,0.0007182277037738786,0.0,0.0014240934945158438,4.707345285597485e-14,0.0009180611973665241,2.8421706042272218e-14,0.0008013524487731735,3.197441972107272e-14,0.0006024380676086338,3.5527131366994147e-13,0.0015120794236612315,3.197441972107272e-14,0.0005204737009363591,1.28785857303991e-13
4.0,0.0019312093195408746,8.191650522348937e-06,0.001083848044264408,2.8421706042272218e-14,0.001276473808520088,3.774757860209059e-15,0.0012177365370233894,5.684341343979715e-13,0.005167826740155515,1.9353440765669354e-14,0.0005399662889287743,1.4210853359949288e-13,0.0015755820982968631,1.776356669993661e-14,0.00040604866381629,5.115907155371635e-13
5.0,0.0011508655931013665,2.046362862148654e-12,0.0011003552713919151,3.5527131366994147e-13,0.0006889287809924011,2.7790265849983713e-15,0.00046025163375027574,1.776356669993661e-14,0.0011107642087637318,1.4210853021136109e-14,0.0008643838810322742,2.498001534356059e-13,0.0017785250212432842,3.9109184741973877,0.0015422061256054136,5.567906704272152e-13
6.0,0.0008489851187593893,7.1054265105680546e-15,0.010995796624381647,2.815525319398854e-13,0.0013286137237711938,2.8421706719898576e-13,0.0018233469956384616,6.57251976367984e-13,0.0008338379207029276,7.155386716082776e-14,0.0021842976143737103,2.8421706719898576e-13,0.04257612688337552,2.0042641162872314,0.008866548778982838,2.4194140434265137
7.0,0.0009446943488727961,2.6114663816828587e-12,0.0012691349761105122,5.43565138646368e-13,0.04929684273792415,5.320727723301388e-06,0.001394888229643357,6.048494496056767e-13,0.025951768483740426,4.831690061067595e-13,0.0018393011528938588,5.29354283931166e-13,0.0011952705025636016,6.394884079739815e-13,0.00023846317755702592,2.389199677942794e-13
8.0,0.0007720432229006056,2.9842792191418777e-13,0.0018499408314974811,2.8776978087778626e-13,0.0036864949327023856,2.8421706719898576e-13,0.00041472285700929834,2.2937204978250303e-13,0.0010633523864074566,2.9842792191418777e-13,0.005243739482888785,4.5117542413208866e-07,0.001302413735016442,5.906385948904747e-13,0.003576936095626118,2.304295063018799
9.0,,3.920474526311992e-16,0.013207107350388622,5.5149307343072e-09,0.002111340148118502,1.3899991184104787e-12,0.002396513370822978,2.8421706719898576e-13,0.004844882367721819,6.395978147111236e-08,0.000463799919443568,1.28785857303991e-13,0.1247855680611809,0.5925125479698181,0.00283426204269851,4.803268460057408e-12
10.0,0.0005248006617752882,1.8474108419257174e-13,0.0011955401896557305,1.5099030966497784e-12,0.00836565262738009,3.552713339987322e-14,0.0028727609044337365,1.151079123511145e-12,0.001398283869743214,2.2204457104371342e-14,0.001771995069522522,3.552713339987322e-14,0.005936537843487766,3.446131997385943e-13,0.0007904759258963168,0.0004184208228252828
11.0,,5.091482790930968e-13,,2.0884682871979976e-13,,1.988818831843986e-12,0.0008729184372152139,7.1054265105680546e-15,0.0018649002694681252,1.5063504913911951e-12,0.0019560867257855737,9.23705448067913e-13,0.004050039214317539,9.814370453484211e-13,,4.618527348759782e-12
12.0,,4.304856247472344e-06,0.0027442854338914913,8.21387315802502e-12,,7.106995667527372e-07,0.010526244637529873,1.87583260556623e-12,0.006827643265330408,1.776356622559816e-12,,2.4652853543305486e-12,,1.4153677145231636e-12,0.00213358999977756,3.53850239040443e-12
13.0,,1.894165163260353e-12,0.0008099623955466484,2.4158450305337975e-13,0.00041877572463514906,5.6843412084544437e-14,0.01287089106008395,0.003456586506217718,,2.5368594418618932e-14,,1.1507205507476498e-13,0.005442391033284366,4.352073822849745e-12,,1.0946797667551328e-13
14.0,,2.9147931897982593e-12,0.0009996578337450046,1.1368682416908887e-13,,2.7553510688338445e-12,,6.331045930563217e-12,,8.015809370431892e-12,0.0008601814879511949,3.5527132552840273e-15,0.002195920329540968,3.6415311819573346e-14,0.008275896404423595,2.1856292817257206e-11
15.0,0.0010013564850212672,8.71983640848839e-09,,3.752390325545418e-12,,1.6531218668264236e-12,0.0031673930934630334,9.556798711771175e-13,,2.3090216804549923e-12,,3.417710125325213e-12,,9.956479000636231e-13,0.0016660312459157456,1.136868268795943e-12
