teacher_rank,student_dim,gd_gen_seed=0,gd_gen_seed=1,gd_gen_seed=2,gd_gen_seed=3,gd_gen_seed=4,gd_gen_seed=5,gd_gen_seed=6,gd_gen_seed=7
1,3,0.3736206293106079,0.039301153272390366,0.07331845909357071,0.068795345723629,0.01661066524684429,0.9290745258331299,0.049874745309352875,0.8287016153335571
1,4,0.09923576563596725,0.29025307297706604,0.023128677159547806,0.27815863490104675,0.8206723928451538,0.07511682063341141,0.1453578770160675,0.008422479033470154
1,5,0.25250616669654846,0.01147736981511116,0.7362841963768005,0.03347788006067276,0.011019673198461533,0.15077540278434753,0.2328072488307953,0.10833249986171722
1,6,0.02277953550219536,0.19098570942878723,0.01248248666524887,0.274546355009079,0.10426792502403259,0.018111959099769592,0.03632518649101257,0.11487436294555664
1,7,0.28651556372642517,0.18298554420471191,0.14199040830135345,0.06956721097230911,0.4077528715133667,0.1414564847946167,0.04077531769871712,0.39108434319496155
1,8,0.11849283427000046,0.031893838196992874,0.02317032963037491,0.06538330763578415,0.03697638958692551,0.11167792975902557,0.16273920238018036,0.9046983122825623
1,9,1.3592705726623535,0.49624836444854736,0.475223183631897,0.05502757430076599,0.10440900176763535,0.08964723348617554,0.04127069562673569,0.021897276863455772
1,10,0.04263075813651085,0.032829854637384415,0.023684019222855568,0.191494420170784,0.27868884801864624,4.18951940536499,0.16535960137844086,0.04588041082024574
1,11,0.10026942193508148,0.10768704861402512,0.04909536987543106,0.1479381024837494,1.27592933177948,0.7126091718673706,0.10171273350715637,0.5809400677680969
1,12,0.06868307292461395,0.05682476609945297,0.32904255390167236,0.3637385666370392,0.032587092369794846,0.049422115087509155,0.13727718591690063,0.12317316234111786
1,13,0.058810435235500336,3.936497211456299,0.061488714069128036,0.016737280413508415,1.5458886623382568,0.3147929310798645,0.059113308787345886,0.03995146602392197
1,14,0.11085741221904755,0.02184995263814926,0.1128927618265152,0.19007426500320435,0.07507079094648361,0.025281017646193504,0.19780567288398743,0.3623282313346863
1,15,0.1695924699306488,0.22495952248573303,0.09767594188451767,0.20512838661670685,0.0962417796254158,0.14993461966514587,0.14360161125659943,0.013610980473458767
1,16,2.010918617248535,0.03912373632192612,0.02815030887722969,0.06900878250598907,0.0503137968480587,0.14333432912826538,0.23373925685882568,1.97012460231781
1,17,1.54426908493042,0.08492166548967361,0.10799559950828552,0.03998148441314697,0.049049146473407745,0.5892481207847595,0.26351749897003174,0.219631165266037
1,18,0.14154037833213806,1.3386201858520508,0.4492872357368469,0.18088679015636444,0.005066118203103542,2.063418388366699,0.03420788422226906,0.11636056005954742
1,19,0.07944945991039276,0.062986359000206,0.13788418471813202,0.5748146772384644,0.06759566068649292,0.07690127193927765,0.13343322277069092,0.2421559989452362
