teacher_rank,student_dim,gnc_gen_seed=0
1,10,1.1244623394949096
1,11,1.4207567274570465
1,12,1.4777374433146582
1,13,2.0714479396119714
1,14,2.47036241988341
1,15,1.7214225041014808
1,16,4.705246438582738
1,17,3.293146098201925
1,18,3.639520134244646
1,19,1.966951493706022
1,20,2.178533929235795
1,21,5.881793260574341
1,22,1.386203408241272
1,23,0.9195793271064758
1,24,2.622358560562134
1,25,7.908889651298523
1,26,4.383933345476787
1,27,0.7897304594516754
1,28,1.6568107604980469
1,29,0.9458168745040894
1,30,2.7655792236328125
1,31,
1,32,
1,33,2.8775739669799805
1,34,6.1097110112508135
