teacher_rank,student_dim,gnc_gen_seed=0,gnc_gen_seed=1,gnc_gen_seed=2,gnc_gen_seed=3,gnc_gen_seed=4,gnc_gen_seed=5,gnc_gen_seed=6,gnc_gen_seed=7
1,5,0.7134116783517792,0.5131034008946165,1.2612326293824443,0.925718272666235,1.589210723905389,0.7409868933926761,1.2916563869777289,1.2606571042466217
1,6,1.1118572430776248,0.5543725742534013,1.3571755288110778,0.9064045859432893,1.6075681658389223,0.8119716321233675,1.290199616782809,1.38681428273276
1,7,1.0743145807038366,0.5146723917850495,1.453744496816871,0.8954633651732309,1.6167585242236369,0.8785169027892762,1.3197959022433663,1.4854969981208104
1,8,1.0447883535909013,0.47258814945675626,1.5863615127506776,0.8406001196774685,1.6528865365393364,0.8281170319500035,1.3067841143261567,1.6083952460380437
1,9,0.9784938457772476,0.4609071950471195,1.6530670551095807,0.8514649461066007,1.6582713149837673,0.7518768177263476,1.2838612861641372,1.5763626576770846
1,10,1.0198803350563352,0.4680717106655552,1.7451193871989548,0.8368321745352274,1.6661846437388015,0.8297715680378729,1.3044959081233922,1.7223067831718157
1,11,1.0208958902446912,0.4602529041629678,1.8479638136708902,0.848339874801468,1.668202299187788,0.8794755826936622,1.291743754529279,1.8105386316631034
1,12,1.0007188121433845,0.45127791620778723,1.9382816043877957,0.8279797030835169,1.676669079960876,0.8236290269151313,1.3218478347399363,1.7849263843147873
1,13,0.9804928761672806,0.43615847727329965,2.02101091279182,0.7923414821218938,1.6889081130990036,0.8315037308738372,1.3374902775160589,1.8140167169526007
1,14,1.0736297064933333,0.43228283620699964,2.1250352152709837,0.8329069520497849,1.7127106333361337,0.8687522279043028,1.34140601516258,1.797442657452844
1,15,1.0011535867165118,0.42741863837340666,2.2198437957643784,0.8168897613635302,1.7222906370033677,0.8220977836871722,1.3151656591836847,1.8533252161226568
1,16,1.0139963294043133,0.3954764355307484,2.3439205548348716,0.813245433659903,1.7390417780664083,0.8178326158518296,1.32604156038906,1.8396005159630695
1,17,1.0276258982115927,0.4255339587261076,2.433103689076221,0.7974011595898476,1.7542193729855287,0.8278931783305663,1.3396513797480722,1.9497605383258494
1,18,1.0327529419001273,0.44269834994514046,2.5107874721990004,0.7915204123840723,1.75037693224506,0.8148094910992297,1.3318841183727943,1.9938977954655208
1,19,1.0051891037562881,0.42142416922150433,2.5778262390578472,0.7978277596733235,1.7938524145575958,0.7874992850893385,1.30174833963596,1.9485712963926012
1,20,0.9824966751413504,0.38937843330107685,2.60985007591778,0.7828727385471993,1.8001995039945196,0.8008481436061547,1.3434226571312577,1.9882286571641488
1,21,1.0209837715061043,0.4059676164694507,2.7616836397633153,0.791881207722869,1.797415899679799,0.8069810355858953,1.2953555789834783,1.9549409306982017
1,22,0.9925453460624094,0.3793783234059456,2.8794067308308224,0.7787192897261863,1.805397543285538,0.8106600056474299,1.3419984791310968,2.0510631628987257
1,23,1.0025152324624291,0.3807599747678851,2.9423487321838064,0.7954812541299436,1.819346340765228,0.8031327377836983,1.3403577703080143,2.011099065301904
1,24,0.9769322927734596,0.40739654720758517,3.019577700569266,0.78734056455247,1.8325772515220167,0.7891392048357627,1.3431859644882875,2.010070131985687
