teacher_rank,student_dim,gnc_gen_seed=0,gnc_gen_seed=1,gnc_gen_seed=2,gnc_gen_seed=3,gd_gen_seed=0,gd_gen_seed=1,gd_gen_seed=2,gd_gen_seed=3
1,3,3.7955311538593426,4.444425040746683,1.5826322067324379,8.300891250944801,0.0,0.0,0.0,0.0
1,4,4.396309236640793,7.9645684361006985,1.8355846575468677,12.756673652142346,0.0,0.0,0.0,0.0
1,5,5.432615088646493,12.986118005825462,2.1187098557745574,18.273623555441947,0.0,0.0,0.0,0.0
1,6,6.614593458753189,19.998287716711477,2.4286645504315327,24.787023820099858,0.0,0.0,0.0,0.0
1,7,7.9612784488201385,28.64354304323181,2.75871970804516,32.490592147661204,0.0,0.0,0.0,0.0
1,8,9.457131821276965,39.19007603492045,3.126490678211411,41.21878330824329,0.0,0.0,0.0,0.0
1,9,11.020202676968022,51.38246138316168,3.5559265198601477,50.8230325252342,0.0,0.0,0.0,0.0
1,10,12.727797613248118,66.0586049864573,3.8748467533238564,61.370675482121605,0.0,0.0,0.0,0.0
1,11,14.734492095165747,82.31602674613885,4.4305273640383245,73.21055968993524,0.0,0.0,0.0,0.0
1,12,16.875004362766227,99.83199054518141,4.796630050073944,86.08860535011334,0.0,0.0,0.0,0.0
1,13,18.746828216365508,119.85698515077446,5.993373980124791,99.66386744196143,0.0,0.0,0.0,0.0
1,14,21.5203308170447,142.33725576401892,4.761946105294758,114.78327475748205,0.0,0.0,0.0,0.0
1,15,23.158019504575073,165.9638101731531,5.6696712374687195,131.32110668113805,0.0,0.0,0.0,0.0
1,16,26.364848912439562,191.50887383308773,7.5008392333984375,146.90118079023384,0.0,0.0,0.0,0.0
1,17,29.21352666142312,219.7106524648326,,165.75131946929716,0.0,0.0,0.0,0.0
1,18,35.10220583931344,249.7962402419927,,184.9747441675518,0.0,0.0,0.0,0.0
1,19,38.83020501301206,282.1838105746609,,202.93410506508823,0.0,0.0,0.0,0.0
