seed,mean_loss,std_loss,min_loss,max_loss,median_loss,num_samples
744,0.016050015710971297,0.021629991010954988,4.085046612090082e-08,0.4052085280418396,0.007967895828187466,100000
242,0.02990451271234153,0.021583859398269276,0.00020824566308874637,0.5082356929779053,0.0245543560013175,100000
774,0.06627323761591253,0.07957370919728307,3.5094406484859064e-05,0.9386642575263977,0.03710614889860153,99995
551,0.07579318720139165,0.07499590844866215,0.007028589956462383,0.9170966148376465,0.04830610752105713,99999
134,0.1074834581514893,0.13919593534968736,1.2550201972771902e-05,0.9996431469917297,0.052610304206609726,99802
656,0.10880283906975605,0.14195883412722413,0.0008315200102515519,0.9996745586395264,0.052756279706954956,99784
950,0.1155313135318143,0.14250581404704987,1.6440239960502367e-06,0.9987853169441223,0.06220312789082527,99885
753,0.12558094297872674,0.12402607039577604,0.0028937458992004395,0.999714195728302,0.08121636509895325,99913
839,0.12763152781355092,0.11273302959800366,0.013673215173184872,0.997734785079956,0.08749085664749146,99937
453,0.12891168563399463,0.05759158575597616,0.008255593478679657,0.6353374719619751,0.11956224218010902,100000
830,0.13567250764802655,0.16705248718563506,0.00042827436118386686,0.9994084239006042,0.06907453387975693,99423
603,0.1387188835571431,0.1727779244048509,1.143722784036072e-06,0.9996471405029297,0.06924622133374214,99162
607,0.14311352112207837,0.1838228848480708,7.852160699428623e-09,0.9995791912078857,0.06878924369812012,98734
86,0.14647234454485974,0.17375316254298148,7.572337926831096e-05,0.9995374083518982,0.07722140103578568,99240
933,0.1520676626028811,0.10203660772073067,0.008916975930333138,0.9668022394180298,0.13010773062705994,99999
340,0.1538060767403245,0.05865216102251772,0.024668801575899124,0.8521641492843628,0.14295608550310135,100000
374,0.1546855086580997,0.19459732909739585,2.629001016885013e-07,0.9999332427978516,0.0748450942337513,98104
249,0.1605585524891177,0.17571556481774475,1.017490831145551e-06,0.9998890161514282,0.10076192393898964,99542
401,0.16149960537729446,0.19236571953154724,5.8440782595425844e-05,0.9999089241027832,0.08427270501852036,98347
297,0.16392680158293885,0.14554392510485276,5.309589141688775e-07,0.9966798424720764,0.12674763798713684,99947
