N,c=0.1,c=0.3,c=0.5,c=0.7,c=0.9
10,0.0,0.0,0.0,0.0,0
20,0.0,0.0,0.0,0.0,0
50,0.20298180155225276,0.0,0.0,0.0,0
100,0.7502367143012961,0.37384098837671575,0.0,0.0,0
200,0.9714981348378671,0.8403557686033047,0.3879176927251519,0.0,0
300,0.9959862810283235,0.9557977434828981,0.6955424107823248,0.0,0
400,0.9993248314802228,0.9866467996761942,0.8450595895506869,0.08426840266613844,0
500,0.999872835926136,0.9956208965249574,0.9192384002292762,0.29148256933315175,0
